web-scraper-order,web-scraper-start-url,productos,productos-href,nombre,precio final,descuento,caracteristicas
"1670951185-11","https://listado.mercadolibre.com.co/camping_BestSellers_YES_ITEM*CONDITION_2230284_NoIndex_True#deal_print_id=b36e0be0-7b05-11ed-a5fa-cd8ee639044f&c_id=special-withoutlabel&c_element_order=13&c_campaign=CAMPING&c_uid=b36e0be0-7b05-11ed-a5fa-cd8ee639044f7","","https://articulo.mercadolibre.com.co/MCO-531499375-carpa-alpes-4-personas-eco-colchon-inflable-inflador-_JM#position=56&search_layout=stack&type=item&tracking_id=0aa8670a-8607-41ce-991f-bb0d37c8122b","Carpa Alpes 4 Personas Eco + Colchón Inflable + Inflador","239.900","null","Combo Carpa Alpes para 4 Personas Eco + Combo Colchón Inflable Doble más 2 Almohadas e Inflador Best Way 

Alto (cm)130
Ancho (cm)210
Largo (cm)210
Marca Alpes Garantía 6 Meses
Modelo Dome 4 
Nota: se despacha según disponibilidad de color, 
Color gris rojo , Azul , Naranja
Material Carpa Poliéster (170 T)
Material Piso Polietileno (120 g)
Número de Personas 4

1 Colchón Inflable Doble medidas 191 x 137 x 22 cm.

2 Almohadas.

1 Inflador Best Way"
"1670951188-12","https://listado.mercadolibre.com.co/camping_BestSellers_YES_ITEM*CONDITION_2230284_NoIndex_True#deal_print_id=b36e0be0-7b05-11ed-a5fa-cd8ee639044f&c_id=special-withoutlabel&c_element_order=13&c_campaign=CAMPING&c_uid=b36e0be0-7b05-11ed-a5fa-cd8ee639044f7","","https://articulo.mercadolibre.com.co/MCO-514077311-tienda-de-acampar-ozark-trail-para-10-personas-_JM#position=55&search_layout=stack&type=item&tracking_id=0aa8670a-8607-41ce-991f-bb0d37c8122b","Tienda De Acampar Ozark Trail, Para 10 Personas,","1.181.550","null","SIMARO



TIEMPOS DE ENTREGA
DE A DÍAS HÁBILES
Este tiempo estimado de entrega 
puede variar según disponibilidad 
de nuestros proveedores.
No contamos con entrega inmediata.



ENVÍO GRATIS A NIVEL NACIONAL


Detalles del producto


Carpa de camping Ozark Trail, para personas, instantánea 

se configura en menos de minutos, con un la altura del centro
Duerme 
se Ajusta a queen colchones de aire



Ozark Trail de personas Oscuro Resto Instantánea de la Cabina de la Tienda:
se configura en menos de minutos
Ninguna asamblea requerida: postes preadjunta a la tienda
Duerme 
Innovadoras Oscuro Resto de la tecnología de
Claraboyas con paneles de techo
se Ajusta a queen colchones de aire
de habitaciones, tienda de campaña con extraíble habitación divisor
Incluye rainfly con la fábricacosturas selladas
de Lujo aparejos y bolsillos colgantes de engranajes organizador incluido
Eléctrica rd de acceso
bolsa de transporte incluido
 estacas de Tienda de campaña, fabricadas de acero
Medidas: x Construction: poliéster, acero
altura del Centro: 
 meses de garantía limitada

Especificaciones:Capacidad: Marca: Ozark Trail 
Funciones: Extraíble 
Tienda Tipo: Tiendas de campaña de Cabina 
Estación: de Toda la Temporada 
Color: Gris 
Montado Peso del Producto: oz 
Fabricante Número de Parte: WMTD 


Marca: Ozark Trail
Modelo: WMTD
Color: Gris
Peso Aproximado: .

Versión en inglés. Esta es una traducción automática.

En Simaro tenemos un amplio y variado catálogo de artículos. Todos nuestros artículos son traídos desde los Estados Unidos hasta tu lugar de domicilio. Queremos facilitarte el proceso y acortar las distancias. Recuerda que en Simaro ¡Lo encontramos por tí!



Métodos de pago 


Sólo aceptamos Mercadopago que abarca: Tarjeta de crédito, tarjeta débito, PSE, Efecty, Baloto.
NO manejamos pago Contraentrega
ESTE ARTICULO ES TRAÍDO DESDE USA
Simaro está ubicada en Bogotá, pero no cuenta con tienda física ni stock de productos, es virtual.

GARANTÍA


Nuestros proveedores en los Estados Unidos brindan días de garantía DIRECTA, la cual extendemos a nuestros clientes, esta garantía es SÓLO por defectos de fabricación, NO INCLUYE mala manipulación POR PARTE DEL USUARIO.
No nos hacemos responsables de los costos de envío en garantías.
El hecho de dar inicio al proceso de garantía no implica la aceptación de la misma, esta estará sujeta a la revisión técnica que haga constar que no cabe causal de rechazo.
Es indispensable que se garantice la integridad del producto; solo se podrá iniciar el trámite de garantía, cuando el producto cuente con las etiquetas intactas, esté en un estado de limpieza impecable y la caja y los accesorios se encuentran en perfecto estado.
Para el caso de los disfraces o ropa, el cambio de talla no se reconocerá como garantía
La garantía no aplicará en caso de evidenciarse un mal uso por parte del cliente.


INFORMACIÓN IMPORTANTE 


Recuerda antes de comprar, hacer uso de la herramienta de preguntas, en donde nuestro grupo de asesores te aclararán y despejarán todas tus dudas, para que así puedas estar totalmente confiado de lo que estas comprando.

Es importante recordar que al ser un producto traído desde los Estados Unidos la DISPONIBILIDAD Y PRECIO de los artículos pueden variar DIARIAMENTE. Asimismo, las tallas y colores están sujetas a la disponibilidad, en algunos casos puede que el valor del producto por cuestiones de tamaño, color o proveedor pueda cambiar ya que diariamente se actualizan de forma AUTOMÁTICA los precios con los de nuestros proveedores.

Por medio de preguntas, por favor indícanos tu talla, color o Referencia, para así, confirmarte disponibilidad de la misma ANTES de que realices la compra. Recuerda que el precio publicado pertenece a la talla y color descritos en la publicación. Otras tallas y colores pueden llegar a variar en su precio.

Para cambios y devoluciones comunícate con nuestro centro de Atención al Cliente. Los datos de contacto serán enviados por email luego de confirmada la compra
Para tu seguridad y comodidad nuestro personal se pondrá en contacto para confirmar detalles de tallas, color o especificaciones de tu compra dentro de las horas posteriores a la misma.

Para que el usuario pueda ejercer el derecho de retracto deberá devolver el producto en las mismas condiciones que lo recibió, nuevo, sin daños o deterioro, debe incluir todos los accesorios o aditamentos que se hayan recibido junto al producto, con todas las etiquetas y empaques originales.


¡Gracias por visitar nuestra Tienda Simaro!

Recuerda que en Simaro ¡Lo encontramos por ti! Te deseamos un feliz día. Bendiciones. El equipo Simaro.




 ::




Recuerda que esta es una traducción automática. Versión en inglés."
"1670951192-13","https://listado.mercadolibre.com.co/camping_BestSellers_YES_ITEM*CONDITION_2230284_NoIndex_True#deal_print_id=b36e0be0-7b05-11ed-a5fa-cd8ee639044f&c_id=special-withoutlabel&c_element_order=13&c_campaign=CAMPING&c_uid=b36e0be0-7b05-11ed-a5fa-cd8ee639044f7","","https://articulo.mercadolibre.com.co/MCO-452378420-linterna-manual-con-dinamo-sin-pilas-ni-cables-hogar-camping-_JM?searchVariation=70199061464#searchVariation=70199061464&position=54&search_layout=stack&type=item&tracking_id=0aa8670a-8607-41ce-991f-bb0d37c8122b","Linterna Manual Con Dinamo Sin Pilas Ni Cables Hogar Camping","6.800","null","LINTERNA DINAMO LED DE 3 BOMBILLOS

Elaborada en plástico resistente a altos impacto.
Poco consumo de energía.
Máximo rendimiento de luz.
Recarga con gatillo manual retráctil.
Utiliza leds de chorro de alta tecnología.
USOS
Para camping.
Para cortes de energía.
Para el campo.
Para el carro.
Para emergencias como sismos.
Para todo lo que imagines!!!
BENEFICIOS
No se rompe
Portátil.
Poco consumo con máxima eficiencia.
Ahorro de energía (pilas)
Ecológica
Super económica"
"1670951195-14","https://listado.mercadolibre.com.co/camping_BestSellers_YES_ITEM*CONDITION_2230284_NoIndex_True#deal_print_id=b36e0be0-7b05-11ed-a5fa-cd8ee639044f&c_id=special-withoutlabel&c_element_order=13&c_campaign=CAMPING&c_uid=b36e0be0-7b05-11ed-a5fa-cd8ee639044f7","","https://articulo.mercadolibre.com.co/MCO-842186787-carpa-2-personas-tulum-coleman-2147142-_JM#position=53&search_layout=stack&type=item&tracking_id=0aa8670a-8607-41ce-991f-bb0d37c8122b","Carpa 2 Personas Tulum Coleman 2147142","167.307","7% OFF","Carpa 2 Personas Tulum Coleman 2147142

Marca: Coleman
Referencia: 2147142
Dimensiones: 198cm (Largo) x 122cm (Ancho) x 109cm (Alto)
Dimensiones empaque: 55 cm x 17cm
Peso: 2,25KG
Columnas de Agua: : 1500mm a 2000mm (Resistencia Media - Baja)
Garantía: 3 meses

Carpa para 2 personas Tulum Coleman con protección UV Guard que evita el desgaste por el sol, liviana, resistente a los vientos ideal para los viajes de mochileros, disfrute de una escapada a la playa 

» Toldo ¾ con estructura que protege contra agentes externos
» Sistema WHEATHERTEC™ con esquinas soldadas y costuras invertidas y selladas para evitar la filtración de agua
» Tecnología UVGuard™ que ayuda a proteger la casa de los rayos dañinos del sol
» Estructura resistente para soportar vientos de hasta 56 km/h+
» Puerta amplia tipo D que aumenta la facilidad de entrada y salida de la casa
» Cuenta con un bolsillo para tus almacenar tus dispositivos electrónicos
» Liviana y compacta para aventuras mochileras y acampar
» Malla contra insectos que aporta excelente ventilación
» Mangas continuas para las varillas que protegen contra enganches
» Bolsa de transporte incluida
» Fácil instalación"
"1670951198-15","https://listado.mercadolibre.com.co/camping_BestSellers_YES_ITEM*CONDITION_2230284_NoIndex_True#deal_print_id=b36e0be0-7b05-11ed-a5fa-cd8ee639044f&c_id=special-withoutlabel&c_element_order=13&c_campaign=CAMPING&c_uid=b36e0be0-7b05-11ed-a5fa-cd8ee639044f7","","https://articulo.mercadolibre.com.co/MCO-881292570-carpa-coleman-doble-tendido-2-personas-tienda-de-campana-_JM#position=52&search_layout=stack&type=item&tracking_id=0aa8670a-8607-41ce-991f-bb0d37c8122b","Carpa Coleman Doble Tendido 2 Personas Tienda De Campaña","249.900","null","TIENDA OFICIAL COLEMAN®

THE OUTDOOR COMPANY

Somos Marca líder con más de 100 años en el Mercado, especializados en equipos y accesorios en la categoría Outdoor para el disfrute de las actividades recreativas al aire libre, como excursión, camping, playera, hogar y accesorios.

Horario de Atención: lunes a viernes de 9:00 am 6:00 pm y sábados de 9:00 am a 11:00 pm.

DESCRIPCIÓN DEL PRODUCTO

MODELO: Tulum 2 personas

- Peso: 3.6 Kg.
- Dimensiones: 120 cm (Alto) x 140 cm (Ancho) x 200 cm (Largo).
- Resistencia a Columnas de Agua: 1.500 mm a 2.000 mm (Resistencia Baja - Media)
- Toldo ¾ con estructura que protege contra agentes externos.
- Sistema WHEATHERTEC™ con esquinas soldadas y costuras invertidas y selladas para evitar la filtración de agua.
- Tecnología UVGuard™ que ayuda a proteger la casa de los rayos dañinos del sol.
- Estructura resistente para soportar vientos de hasta 56 km/h+.
- Puerta amplia tipo D que aumenta la facilidad de entrada y salida de la casa.
- Cuenta con un bolsillo para tus almacenar tus dispositivos electrónicos.
- Liviana y compacta para aventuras mochileras y acampar.
- Malla contra insectos que aporta excelente ventilación.
- Mangas continuas para las varillas que protegen contra enganches.
- Bolsa de transporte incluida.
- Fácil instalación.


¿CÓMO COMPRAR?:

PAGOS:
- MercadoPago

ENVÍOS:
- Mercadoenvíos
- Coordinadora Mercantil (Contra entrega)

RECOMENDACIONES:
- Por favor aclare todas tus dudas en la sección de preguntas antes de ofertar.
- Aclare todas sus dudas antes de ofertar.
- Actualice el teléfono, correo y dirección para poder contactar y enviar el producto correctamente. No nos hacemos responsables por -contratiempos causados por datos erróneos.
- Las compras acreditadas antes de las 2:30 pm serán enviadas el mismo día hábil. Después de las 2:30 pm el envío se realizará el día hábil -siguiente. 

PREGUNTAS FRECUENTES:
1. ¿Hacen envíos a todo el País?
Si. A través de Mercado envíos y Coordinadora Mercantil (Contra Entrega).
2. ¿Desde qué ciudad realizan los envíos?
Todos nuestros productos son despachados desde nuestro almacén en Bogotá.
3. ¿Puedo retirar mi producto personalmente?
Si. Por nuestra sede en Bogotá, Fontibón.

GARANTÍA:
- Todos nuestros productos están garantizados por 3 meses contra defectos de fábrica.
- La garantía no cubre abuso, descuido, mal uso o desgaste natural por el us"
"1670951202-16","https://listado.mercadolibre.com.co/camping_BestSellers_YES_ITEM*CONDITION_2230284_NoIndex_True#deal_print_id=b36e0be0-7b05-11ed-a5fa-cd8ee639044f&c_id=special-withoutlabel&c_element_order=13&c_campaign=CAMPING&c_uid=b36e0be0-7b05-11ed-a5fa-cd8ee639044f7","","https://articulo.mercadolibre.com.co/MCO-823064466-lampara-campamento-solar-linterna-jy-5700t-usb-recargable-_JM?searchVariation=175178440821#searchVariation=175178440821&position=51&search_layout=stack&type=item&tracking_id=0aa8670a-8607-41ce-991f-bb0d37c8122b","Lampara Campamento Solar Linterna Jy-5700t Usb Recargable","15.900","null","Somos 8CLICKS 

Importadores directos y distribuimos a nivel nacional, con más de 4 años de experiencia en MercadoLibre y comercio en línea, brindando compromiso y confianza en cada compra.

Linterna Lampara Recargable energía y luz solar 5 LED + 1W con puerto usb
La Perfecta combinación de la lámpara mágica y la lámpara de Campamento, Te permite agregar diversión a tu viaje.
•	USB para cargar tus celulares. (cable usb no incluido)
•	Puedes Cargarla Mediante corriente eléctrica. (incluye cable de alimentación eléctrica)
•	Puedes ponerla en modo de búsqueda.
•	Cuenta con paneles solares para cargarla.

Si tienes alguna duda antes de comprar no dudes en escribir, nuestros asesores estarán felices de atenderte. 
8CLICKS"
"1670951205-17","https://listado.mercadolibre.com.co/camping_BestSellers_YES_ITEM*CONDITION_2230284_NoIndex_True#deal_print_id=b36e0be0-7b05-11ed-a5fa-cd8ee639044f&c_id=special-withoutlabel&c_element_order=13&c_campaign=CAMPING&c_uid=b36e0be0-7b05-11ed-a5fa-cd8ee639044f7","","https://articulo.mercadolibre.com.co/MCO-893833171-carpa-2-personas-color-negro-asgard-camping-tienda-2x12m-_JM#position=50&search_layout=stack&type=item&tracking_id=0aa8670a-8607-41ce-991f-bb0d37c8122b","Carpa 2 Personas Color Negro Asgard Camping Tienda 2x1.2m","69.999","null","SOMOS PARRILLASYCAMPING | Líderes en productos de outdoor.

Tienda virtual que ofrece artículos para aire libre de alta calidad.

Somos distribuidores autorizados de las marcas: Asgard, King Flame, Kingcamp, Coleman, Campingaz.
——————————

Carpa 2 Personas Color Negro Asgard Camping Tienda 2x1.2m

Conoce la nueva colección de las Carpas Asgard, diseñadas y confeccionadas con la más alta tecnología, para brindarte la mayor comodidad y seguridad que te mereces, que tu única preocupación sea disfrutar de tus paseos y aventuras juntos a tu familia o amigos.

Especificaciones

Marca Asgard
Material Techo 180T Poliester PU 800 mm
Material Piso 180T Poliester PU 800 mm
Material Mosquitero Malla, Varillas Fibra de Vidrio
Medidas 200x 120x 100cm (Largo,Ancho,Alto)
Medidas Bolsa de Transporte Ø14x 58cm
Peso 1450g
Color: NEGRO 
Sobrecarpa No
Uso Exteriores, Interiores


Incluye: Parantes, estacas, vientos tensores y práctica bolsa de transporte

Pulsa comprar y recibirás todos nuestros datos. Llámenos ya!!!!!
——————————

Para ver otros increibles productos para exteriores o Camping al mejor precio, Haz clic en el siguiente link:
https://listado.mercadolibre.com.co/_CustId_24264817


—————————

PROCESO DE COMPRA

1. Si tienes dudas realice todas las preguntas en la sección ""Preguntas al Vendedor"".
2. Haga clic en el boton ""Comprar""
3. Coloca los datos de envio: Casa, Apartamento, oficina, local u oficina principal de servientrega.
* Por favor se lo mas claro y especifico posible (nombre del barrio, nombre del conjunto, telefono de la persona que recibe) para que la transportadora llegue a tu domicilio sin problema.
* Puede llegar a tu domicilio o a la direccion de un familiar o amigo.
4. Elige el método de pago.
5. El envio se demora 1 o 2 dias habiles despues de confirmado el pago.
6. Recibe el envio en tu domicilio, en caso de que no puedas recibir el paquete puedes dejar una persona encargada.

——————————

FORMAS DE PAGO

MercadoPago

• Desde cualquier lugar del país sin costo alguno.
• Hasta 48 cuotas con tarjeta de crédito (Diners Club, Visa, Mastercard, American Express, Codensa).
• Giro por Efecty.
• Con tarjeta débito (por medio de PSE).
• Con el dinero disponible en su cuenta de MercadoPago.

——————————

FORMAS DE ENVÍO

1. MercadoEnvíos

• La forma ideal ya que es más económico.
• Envío por servientrega con cubrimiento a nivel nacional.
• El seguro cubre el 100% del costo del producto.

2. Otros medios de envío

• En caso de que Mercadoenvios no llegue a su ciudad por favor haganoslo saber en la sección de preguntas.


El envió o el domicilio se demora 1 o 2 días Hábiles después de confirmado el pago.

ENVÍOS A TODO EL PAÍS
——————————

Gracias por tu visita!
ParrillasyCamping"
"1670951208-18","https://listado.mercadolibre.com.co/camping_BestSellers_YES_ITEM*CONDITION_2230284_NoIndex_True#deal_print_id=b36e0be0-7b05-11ed-a5fa-cd8ee639044f&c_id=special-withoutlabel&c_element_order=13&c_campaign=CAMPING&c_uid=b36e0be0-7b05-11ed-a5fa-cd8ee639044f7","","https://articulo.mercadolibre.com.co/MCO-885598271-repuestos-varillas-carpa-2-personas-fibra-vidrio-na200-_JM#position=49&search_layout=stack&type=item&tracking_id=0aa8670a-8607-41ce-991f-bb0d37c8122b","Repuestos Varillas Carpa 2 Personas Fibra Vidrio Na200","31.900","5% OFF","----------------------------------------------------------------------
>>>>>>>>>>>>> CompraloEnCasa <<<<<<<<<<<<<
----------------------------------------------------------------------

Este kit de postes para tienda de campaña está hecho de fibra de vidrio con cordón elástico, que es duradero. El cordón elástico proporciona más flexibilidad, que se puede utilizar incluso en las condiciones climáticas adversas sin romperse. Es plegable, ahorra espacio y es fácil de llevar. 

Características

• Material: Fibra de vidrio, metal.
• Tamaño varilla armada: 3 metros aprox. 
• Diámetro varilla: 6 mm aprox. 
• Peso Aprox.: 414 g. 
• Las varillas tienen un sistema de 6 secciones cada una.
• Fabricadas en fibra de vidrio, muy durables y flexibles.
• Estos postes o varillas de carpa son duraderos y se puede utilizar como repuestos o piezas de repuesto en tus salidas de campamento.
• El cordón elástico interno de alta resistencia proporciona más flexibilidad y resistencia a la rotura.
• Las varillas se unen unas con otras para lograr la longitud especificada.
• Fácil de transportar: estos postes de toldo son plegables, ahorran espacio, ligeros y fáciles de transportar en tu mochila o bolso de tienda de campaña.
• Para carpas de 2 personas. (favor comprobar medidas antes de comprar)
• Se puede instalar en lugares blandos, como el suelo, el prado, etc.

Contenido del Paquete

• 2 varillas de 6 secciones para carpa
• 100 % Nuevas

Por favor resuelva todas sus dudas antes de ofertar, esto facilitara nuestro trabajo y podrá recibir el producto tal y como lo desea. 
Estaremos siempre atentos a resolver sus inquietudes."
"1670951211-19","https://listado.mercadolibre.com.co/camping_BestSellers_YES_ITEM*CONDITION_2230284_NoIndex_True#deal_print_id=b36e0be0-7b05-11ed-a5fa-cd8ee639044f&c_id=special-withoutlabel&c_element_order=13&c_campaign=CAMPING&c_uid=b36e0be0-7b05-11ed-a5fa-cd8ee639044f7","","https://articulo.mercadolibre.com.co/MCO-823835625-sleeping-ninos-bolsa-para-dormir-pijama-_JM#position=48&search_layout=stack&type=item&tracking_id=0aa8670a-8607-41ce-991f-bb0d37c8122b","Sleeping Niños Bolsa Para Dormir Pijama","62.500","null","Medida es de 1.30 cm largo x 60 cm ancho 

La almohada y el saco de dormir se combinan en uno: la almohada perfecta para jugar.

Al dormir, simplemente tira de los pies y verás un cómodo saco de dormir.

Super suave, cómodo y cómodo hecho de materiales súper suaves y almohadas cómodas, puede mantener a su hijo cómodo y cómodo durante una siesta.

Ropa fácil de lavar: el material de felpa para cada personaje se puede lavar a máquina en un ciclo delicado, por lo que siempre puedes tenerlo a tu lado, listo para echar una siesta y jugar.

Ultra suave, cómodo y acogedor: hecho de material súper suave y una cómoda almohada para mantener a tu hijo cómodo y cómodo mientras duerme.

Disponible en perro amarillo, gato rosado, gato gris, unicornio fucsia y dinosaurio verde. Recuerda indicarnos el diseño que deseas que te llegue"
"1670951214-20","https://listado.mercadolibre.com.co/camping_BestSellers_YES_ITEM*CONDITION_2230284_NoIndex_True#deal_print_id=b36e0be0-7b05-11ed-a5fa-cd8ee639044f&c_id=special-withoutlabel&c_element_order=13&c_campaign=CAMPING&c_uid=b36e0be0-7b05-11ed-a5fa-cd8ee639044f7","","https://articulo.mercadolibre.com.co/MCO-858854044-carpa-alpes-para-4-personas-eco-_JM#position=47&search_layout=stack&type=item&tracking_id=0aa8670a-8607-41ce-991f-bb0d37c8122b","Carpa Alpes Para 4 Personas Eco","159.900","null","COMPRAS 100% SEGURAS, JL LUJO

 ENCUENTRA MAS DE NUESTRO CATALOGO A LOS MEJORES PRECIOS AQUI: https://listado.mercadolibre.com.co/_CustId_282267852  


 Carpa Alpes para 4 Personas Eco

Alto (cm)	130
Ancho (cm)	210
Largo (cm)	210
Marca	Alpes
Modelo	Dome 4
Color	Gris
Rojo

Material Carpa	Poliéster (170 T)
Material Piso	Polietileno (120 g)"
