web-scraper-order,web-scraper-start-url,producto,producto-href,marca,nombre,precio,capacidad
"1670952770-201","https://www.falabella.com.co/falabella-co/category/cat670983/Carpas2","","https://www.falabella.com.co/falabella-co/product/8329967/Carpa-Igloo-Baby-Shark/8329967","Baby Shark","Carpa Igloo Baby Shark","$  132.930 (Precio final)","null"
"1670952775-202","https://www.falabella.com.co/falabella-co/category/cat670983/Carpas2","","https://www.falabella.com.co/falabella-co/product/8385323/Carpa-Panda-2-Verde/8385323","NTK","Carpa Panda 2 Verde","$  213.220","2 personas"
"1670952779-203","https://www.falabella.com.co/falabella-co/category/cat670983/Carpas2","","https://www.falabella.com.co/falabella-co/product/8850267/Carpa-Tenere-3-Personas-Ferrino-Verde/8850268","Ferrino","Carpa Tenere 3 Personas Ferrino Verde","$  1.089.000","3 personas"
"1670952782-204","https://www.falabella.com.co/falabella-co/category/cat670983/Carpas2","","https://www.falabella.com.co/falabella-co/product/26573716/Carpa-Coleman-Doble-Tendido-Tienda-Campana-Tulum/26573716","Coleman","Carpa Coleman Doble Tendido Tienda Campaña Tulum","$  501.990 (Precio final)","6 personas"
"1670952786-205","https://www.falabella.com.co/falabella-co/category/cat670983/Carpas2","","https://www.falabella.com.co/falabella-co/product/26585294/Carpa-Coleman-Doble-Tendido-Tienda-Campana-Amazoni/26585295","Coleman","Carpa Coleman Doble Tendido Tienda Campaña Amazoni","$  426.990 (Precio final)","4 personas"
"1670952788-206","https://www.falabella.com.co/falabella-co/category/cat670983/Carpas2","","https://www.falabella.com.co/falabella-co/product/31804591/Carpa-Ferrino-Force-2-P-3-Estaciones-Verde-Oliva/31804592","Ferrino","Carpa Ferrino Force 2 P 3 Estaciones ¿ Verde Oliva","$  1.455.000","2 personas"
"1670952792-207","https://www.falabella.com.co/falabella-co/category/cat670983/Carpas2","","https://www.falabella.com.co/falabella-co/product/53600767/Carpa-Toldo-3X4.5-Plegable-Reforzado-Impermeable/53600767","SKYGREEN","Carpa Toldo 3X4.5 Plegable Reforzado Impermeable","$  399.000 (Precio final)","10 personas"
"1670952796-208","https://www.falabella.com.co/falabella-co/category/cat670983/Carpas2","","https://www.falabella.com.co/falabella-co/product/2813573/Carpa-Fox-5-a-6-personas/2813573","NTK","Carpa Fox 5 a 6 personas","$  378.900","null"
"1670952799-209","https://www.falabella.com.co/falabella-co/category/cat670983/Carpas2","","https://www.falabella.com.co/falabella-co/product/51491256/Toldo-Carpa-Plegable-Reforzado-3X3-Impermeable-Eve/51491257","GENERICO","Toldo Carpa Plegable Reforzado 3X3 Impermeable Eve","$  324.900 (Precio final)","null"
"1670952802-210","https://www.falabella.com.co/falabella-co/category/cat670983/Carpas2","","https://www.falabella.com.co/falabella-co/product/8393332/Carpa-Panda-4-Verde/8393332","NTK","Carpa Panda 4 Verde","$  257.389","4 personas"
"1670952805-211","https://www.falabella.com.co/falabella-co/category/cat670983/Carpas2","","https://www.falabella.com.co/falabella-co/product/8385324/Carpa-Panda-3-Verde/8385324","NTK","Carpa Panda 3 Verde","$  225.530","3 personas"
"1670952809-212","https://www.falabella.com.co/falabella-co/category/cat670983/Carpas2","","https://www.falabella.com.co/falabella-co/product/46862828/Carpa-Toldo-3X6-Plegable-Reforzado-Impermeable-Eventos-Blanco/46862828","SKY BRANDS","Carpa Toldo 3X6 Plegable Reforzado Impermeable Eventos Blanco","$  589.000 (Precio final)","10 personas"
"1670952813-213","https://www.falabella.com.co/falabella-co/category/cat670983/Carpas2","","https://www.falabella.com.co/falabella-co/product/2813566/Carpa-Iglu-Panda-2-Personas/2813566","Nautika","Carpa Iglú Panda 2 Personas","$  213.220","2 personas"
"1670952816-214","https://www.falabella.com.co/falabella-co/category/cat670983/Carpas2","","https://www.falabella.com.co/falabella-co/product/31804587/Carpa-Ferrino-Lightent-Pro-3-Personas-Gris/31804588","Ferrino","Carpa Ferrino Lightent Pro 3 Personas ¿ Gris","$  1.424.000","3 personas"
"1670952819-215","https://www.falabella.com.co/falabella-co/category/cat670983/Carpas2","","https://www.falabella.com.co/falabella-co/product/2813575/Carpa-Iglu-Cherokee-GT-2-3-3-personas/2813575","NTK","Carpa Iglú Cherokee GT 2/3 3 personas","$  724.416","3 personas"
"1670952824-216","https://www.falabella.com.co/falabella-co/category/cat670983/Carpas2","","https://www.falabella.com.co/falabella-co/product/11422731/Carpa-Doble-Tendido-Viaje-4-Personas/11422732","COLEMAN","Carpa Doble Tendido  Viaje  4 Personas","$  329.990 (Precio final)","4 personas"
"1670952827-217","https://www.falabella.com.co/falabella-co/category/cat670983/Carpas2","","https://www.falabella.com.co/falabella-co/product/4124240/Carpa-Savannah-9-personas/4124240","NTK","Carpa Savannah 9 personas","$  2.195.867","9 personas"
